raw_acquirer_response,decline_reason_std,decline_category,is_retryable,recovery_lever,business_action
Soft Decline - Authentication is Advised,soft_decline_sca,authentication,true,3DS step-up and resubmit,step_up_authentication
Exceeds withdrawal frequency,velocity_limit_exceeded,velocity_limit,true,Retry after cool-off,retry_at_better_time
Exceeds withdrawal limit,velocity_limit_exceeded,velocity_limit,true,Retry after cool-off,retry_at_better_time
Exceeds withdrawal amount limit,velocity_limit_exceeded,velocity_limit,true,Retry after cool-off,retry_at_better_time
Activity amount limit exceeded,velocity_limit_exceeded,velocity_limit,true,Retry after cool-off,retry_at_better_time
Activity count limit exceeded,velocity_limit_exceeded,velocity_limit,true,Retry after cool-off,retry_at_better_time
Invalid transaction,invalid_transaction,technical_error,true,Gateway retry,fix_gateway_or_integration
INVALID TRANS,invalid_transaction,technical_error,true,Gateway retry,fix_gateway_or_integration
Invalid transaction; contact card issuer,invalid_transaction,technical_error,true,Gateway retry,fix_gateway_or_integration
Transaction error,processing_error,technical_error,true,Gateway retry,fix_gateway_or_integration
AMOUNT ERROR,processing_error,technical_error,true,Gateway retry,fix_gateway_or_integration
Re-enter transaction,processing_error,technical_error,true,Gateway retry,fix_gateway_or_integration
System error,system_error,technical_error,true,Automatic retry / failover,fix_gateway_or_integration
System malfunction,system_error,technical_error,true,Automatic retry / failover,fix_gateway_or_integration
Issuer unavailable or switch inoperative,issuer_unavailable,technical_error,true,Automatic retry / failover,fix_gateway_or_integration
NO REPLY,issuer_unavailable,technical_error,true,Automatic retry / failover,fix_gateway_or_integration
Timeout/Retry,issuer_unavailable,technical_error,true,Automatic retry / failover,fix_gateway_or_integration
Failed to create charge,gateway_error,technical_error,true,Automatic retry / failover,fix_gateway_or_integration
Approved,not_a_decline_contamination,data_quality_anomaly,false,Pipeline fix - field contamination,data_fix
APPROVE WITH ID,not_a_decline_contamination,data_quality_anomaly,false,Pipeline fix - field contamination,data_fix
